 x y z label
1045 31 22 0 0
1046 31 23 0 0
1047 31 24 0 1526
1048 31 25 0 0
1049 31 26 0 0
1050 31 27 0 0
1051 31 28 0 0
1052 31 29 0 0
1053 31 30 0 0
1054 31 31 0 0
1055 31 32 0 0
1056 32 0 0 0
1057 32 1 0 0
1058 32 2 0 0
1059 32 3 0 0
1060 32 4 0 0
1061 32 5 0 0
1062 32 6 0 15
1063 32 7 0 15
1064 32 8 0 15
1065 32 9 0 0
1066 32 10 0 0
1067 32 11 0 0
1068 32 12 0 0
1069 32 13 0 0
1070 32 14 0 0
1071 32 15 0 0
1072 32 16 0 0
1073 32 17 0 0
1074 32 18 0 0
1075 32 19 0 0
1076 32 20 0 0
1077 32 21 0 0
1078 32 22 0 0
1079 32 23 0 0
1080 32 24 0 0
1081 32 25 0 0
1082 32 26 0 0
1083 32 27 0 1530
1084 32 28 0 0
1085 32 29 0 0
1086 32 30 0 0
1087 32 31 0 0
1088 32 32 0 75
1089 0 0 1 0
1090 0 1 1 0
1091 0 2 1 0
1092 0 3 1 0
1093 0 4 1 0
1094 0 5 1 0
1095 0 6 1 0
1096 0 7 1 0
1097 0 8 1 0
1098 0 9 1 0
1099 0 10 1 0
1100 0 11 1 24
1101 0 12 1 0
1102 0 13 1 0
1103 0 14 1 0
1104 0 15 1 0
1105 0 16 1 39
1106 0 17 1 0
1107 0 18 1 0
1108 0 19 1 0
1109 0 20 1 0
1110 0 21 1 0
1111 0 22 1 0
1112 0 23 1 0
1113 0 24 1 0
1114 0 25 1 0
1115 0 26 1 0
1116 0 27 1 0
1117 0 28 1 0
1118 0 29 1 0
1119 0 30 1 68
1120 0 31 1 0
1121 0 32 1 0
1122 1 0 1 0
1123 1 1 1 0
1124 1 2 1 0
1125 1 3 1 0
1126 1 4 1 0
1127 1 5 1 0
1128 1 6 1 84
1129 1 7 1 0
1130 1 8 1 0
1131 1 9 1 0
1132 1 10 1 0
1133 1 11 1 24
1134 1 12 1 0
1135 1 13 1 0
1136 1 14 1 0
1137 1 15 1 0
1138 1 16 1 39
1139 1 17 1 39
1140 1 18 1 0
1141 1 19 1 0
1142 1 20 1 0
1143 1 21 1 0
1144 1 22 1 50
1145 1 23 1 50
1146 1 24 1 50
1147 1 25 1 0
1148 1 26 1 0
1149 1 27 1 0
1150 1 28 1 0
1151 1 29 1 0
1152 1 30 1 0
1153 1 31 1 0
1154 1 32 1 127
1155 2 0 1 0
1156 2 1 1 0
1157 2 2 1 0
1158 2 3 1 134
1159 2 4 1 134
1160 2 5 1 134
1161 2 6 1 0
1162 2 7 1 0
1163 2 8 1 0
1164 2 9 1 0
1165 2 10 1 0
1166 2 11 1 0
1167 2 12 1 0
1168 2 13 1 0
1169 2 14 1 0
1170 2 15 1 159
1171 2 16 1 0
1172 2 17 1 0
1173 2 18 1 0
1174 2 19 1 50
1175 2 20 1 50
1176 2 21 1 0
1177 2 22 1 50
1178 2 23 1 50
1179 2 24 1 166
1180 2 25 1 0
1181 2 26 1 0
1182 2 27 1 0
1183 2 28 1 0
1184 2 29 1 0
1185 2 30 1 0
1186 2 31 1 0
1187 2 32 1 127
1188 3 0 1 0
1189 3 1 1 0
1190 3 2 1 134
1191 3 3 1 134
1192 3 4 1 134
1193 3 5 1 0
1194 3 6 1 0
1195 3 7 1 0
1196 3 8 1 0
1197 3 9 1 0
1198 3 10 1 0
1199 3 11 1 0
1200 3 12 1 0
1201 3 13 1 0
1202 3 14 1 0
1203 3 15 1 159
1204 3 16 1 0
1205 3 17 1 0
1206 3 18 1 0
1207 3 19 1 0
1208 3 20 1 0
1209 3 21 1 0
1210 3 22 1 50
1211 3 23 1 50
1212 3 24 1 166
1213 3 25 1 0
1214 3 26 1 0
1215 3 27 1 0
1216 3 28 1 0
1217 3 29 1 0
